,apt,street,city,state,zipcode,hotrent,amenities,popularity,hottele,hoturl,soundscore,aptrent,apttele,apturl,Population,Density,TotalWages,Wealthy,HouseOfUnits
50,1829 S Longwood Avenue, 1829 S Longwood Avenue, Los Angeles City, CA,90019, Call, Dryer; Flooring: Laminate; Flooring: Tile; Garbage Disposal; Laundry: In Unit; MLS Listing ID: 18306124; Microwave Oven; Washer; Year Built: 1911; Range/Oven,Medium, 310-591-7172, https://hotpads.com/1829-s-longwood-ave-los-angeles-ca-90019-1n1vfrd/pad,,,,,64458.0,16570.1799486,871676252.0,13523.1662788,25116.0
51,2831 Denby Avenue, 2831 Denby Avenue, Los Angeles, CA,90039, Call, Air Conditioning; Dryer; Fenced Yard; Flooring: Tile; Freezer; Garbage Disposal; Garden; Laundry: In Unit; Lawn; Microwave Oven; No Utilities included in rent; Off Street Parking; Parking Spaces: 1; Refrigerator; Sprinkler System; Storage Space; Washer; Yard; Porch; Range/Oven; Stainless steel appliances,High, hotpads, https://hotpads.com/2831-denby-ave-los-angeles-ca-90039-u0axb6/pad,,,,,28514.0,7563.39522546,645960187.0,22654.1413692,12127.0
52,1114 Tamarind Avenue, 1114 Tamarind Avenue, Los Angeles, CA,90038, Call, Air Conditioning; Cable TV Ready; Flooring: Hardwood; Flooring: Tile; Gas not included in rent; Heating system: Heat: forced air; Hot water included in rent; Laundry: Shared; Off Street Parking; Refrigerator; Water not included in rent; Year Built: 1924; Granite countertop; Range/Oven,High, 424-220-8899, https://hotpads.com/1114-tamarind-ave-los-angeles-ca-90038-tbb5pd/pad,,,,,28917.0,18418.4713376,330114199.0,11415.9213957,12812.0
53,415 Rose Avenue, 415 Rose Avenue, Venice, CA,90291, Call, Air Conditioning; Cats Allowed; Dryer; Garbage included in rent; Laundry: In Unit; Off Street Parking; Small Dogs Allowed; Washer; Water included in rent,Medium, 818-333-6646, https://hotpads.com/415-rose-ave-venice-ca-90291-1m2zjpe/pad,,,,,28341.0,11336.4,807288781.0,28484.8375498,16212.0
54,The Micropolitan at Larchmont Village, 5825 Camerford Avenue, Los Angeles, CA,90038,2720, Availability 24 Hours; BBQ/Picnic Area; Bicycle Storage; Cable TV Ready; Cats Allowed; Complimentary Coffee Bar; Courtyard; Custom Cabinet Lighting; Deep Soaking tubs; Designer Kitchen Cabinets; Disabled Access; Dishwasher; Dry Cleaning Service Available; Dryer; Efficient Appliances; Elevator; Elfa Custom Closets; Flooring: Hardwood; Flooring: Tile; Garbage Disposal; Green Building; High-speed Internet Ready; LED Recessed Lights; Large Dogs Allowed; Laundry: In Unit; Linen Pantry and Coat Closet; Microwave Oven; Off Street Parking; On-Site Maintenance; On-Site Management; Online Rent Payments Available; Open Layouts and Upscale Design Touches; Oversized Windows and Designer Shades; Package Service; Patio Balcony; Personal Storage Available; Pet Friendly (Restrictions Apply); Pet Spa; Pictures may not be of exact apartment home; Range; Recycling; Refrigerator; Resort-Inspired Outdoor Lounge Areas; Rooftop Deck; Security: Gated Entry; Shower Enclosures; Small Dogs Allowed; Spaces for Large Flat Screen TVs; Stainless Steel Frigidaire Appliances; Stories: 3; Sundeck; Tennis Court; Tiled Showers and Bath Surrounds; Transportation; USB Charging Outlets; Walk In Closets; Washer; Window Coverings; Year-round outdoor entertainment,Medium, 1-323-746-1069, https://hotpads.com/the-micropolitan-at-larchmont-village-los-angeles-ca-90038-1m2p3aw/pad,70, $2395 - 3495, 844-401-1990, https://www.apartments.com/the-micropolitan-at-larchmont-village-los-angeles-ca/vn3lfed/,28917.0,18418.4713376,330114199.0,11415.9213957,12812.0
55,2338 Nella Vista Avenue, 2338 Nella Vista Avenue, Los Angeles, CA,90027, Call, Fireplace; MLS Listing ID: 18-304218; Year Built: 1956,Medium, 213-300-4567, https://hotpads.com/2338-nella-vista-ave-los-angeles-ca-90027-skxs5w/pad,,,,,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
56,10211 Seabury Lane, 10211 Seabury Lane, Los Angeles, CA,90077, Call, Architecture Style: Other; Dryer; Flooring: Tile; Heating system: Wall; Heating: Wood; Laundry: In Unit; MLS Listing ID: SR18043579; Refrigerator; Roof Type: Tile; Washer; Year Built: 1932,Low, 818-528-3200, https://hotpads.com/10211-seabury-ln-los-angeles-ca-90077-skeyc6/pad,,,,,9377.0,1279.2633015,623152506.0,66455.423483,3888.0
57,970 W 19th Street, 970 W 19th Street, San Pedro, CA,90731, Call, Air Conditioning; Dishwasher; Garbage included in rent; Laundry: Shared; Water included in rent,Low, 562-427-1930, https://hotpads.com/970-w-19th-st-san-pedro-ca-90731-snu6m8/pad,72, $2000, 844-856-4258, https://www.apartments.com/970-w-19th-st-los-angeles-ca/wj5fllj/,59662.0,6492.05658324,940784609.0,15768.5731119,23914.0
58,14111 Sherman Way, 14111 Sherman Way, Van Nuys, CA,91405, Call, Air Conditioning; Dryer; Garage; Laundry: In Unit; No Utilities included in rent; Small Dogs Allowed; Washer,Medium, hotpads, https://hotpads.com/14111-sherman-way-van-nuys-ca-91405-1m3uep9/pad,,,,,51145.0,15451.6616314,545861221.0,10672.8169127,17442.0
59,1522 S Westgate Avenue, 1522 S Westgate Avenue, Los Angeles, CA,90025,4869, ,Low, hotpads, https://hotpads.com/1522-s-westgate-ave-los-angeles-ca-90025-1n1w3ye/pad,,,,,42147.0,16399.6108949,,,23058.0
60,5702 Wilbur Avenue, 5702 Wilbur Avenue, Tarzana, CA,91356, Call, Condo Floor Number: 2; Covered Parking Spaces: 6; Fireplace; Flooring: Hardwood; Flooring: Tile; Heating: Gas; MLS Listing ID: SR18042467; Roof Type: Composition; School District: Los Angeles Unified; Sprinkler System; View Type: Trees/Woods; Year Built: 1950,Medium, 818-449-4522, https://hotpads.com/5702-wilbur-ave-tarzana-ca-91356-1m3r67b/pad,,,,,29458.0,4018.82673943,820382070.0,27849.2114196,12454.0
61,6413 Repton Street, 6413 Repton Street, Los Angeles, CA,90042, Call, Air Conditioning; Cats Allowed; Double Oven; Dryer; Flooring: Hardwood; Garage; Heating: Solar; Huge yard; Large Dogs Allowed; Laundry: In Unit; Off Street Parking; Small Dogs Allowed; Washer; walk in closet,Medium, hotpads, https://hotpads.com/6413-repton-st-los-angeles-ca-90042-1m2q2kg/pad,71, $4300, 323-486-1352, https://www.apartments.com/6413-repton-st-los-angeles-ca/5bdfkbq/,62430.0,13454.7413793,851843674.0,13644.7809387,21018.0
