apt,street,city,state,zipcode,min price,amenities,recent viewed,contact number,url
1309 Amherst Avenue, 1309 Amherst Avenue, Los Angeles, CA,90025,2595, ,12, hotpads, https://hotpads.com/1309-amherst-ave-los-angeles-ca-90025-ttujs8/pad
8308 Yuma Place, 8308 Yuma Place, Los Angeles, CA,90046, Call, Cable TV Ready; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Carpet; Flooring: Hardwood; Flooring: Slate; Furnished; Garbage Disposal; Heating: Gas; Laundry: In Unit; MLS Listing ID: 18309530; Microwave Oven; Refrigerator; View Type: Territorial View; Washer; Year Built: 1961,47, 310-388-7932, https://hotpads.com/8308-yuma-pl-los-angeles-ca-90046-w3xk9r/pad
5643 Raber Street, 5643 Raber Street, Los Angeles, CA,90042, Call, Air Conditioning; Assigned Outdoor Parking; Dryer; Fenced Yard; Flooring: Hardwood; Gas Stove; Laundry: In Unit; Washer; Year Built: 1913,97, 650-281-0960, https://hotpads.com/5643-raber-st-los-angeles-ca-90042-1m2pz0c/pad
112 N Mansfield Avenue, 112 N Mansfield Avenue, Los Angeles, CA,90036, Call, Architecture Style: Traditional; MLS Listing ID: 18-320164; Year Built: 1956,13, 323-821-4820, https://hotpads.com/112-n-mansfield-ave-los-angeles-ca-90036-1n1wzge/pad
9524 Dalegrove Drive, 9524 Dalegrove Drive, Beverly Hills, CA,90210, Call, Covered Parking Spaces: 2; Elementary School: West Hollywood; Fireplace; Flooring: Hardwood; Heating system: Central Furnace; High School: University; MLS Listing ID: SR18042492; Middle School: Emerson; Refrigerator; School District: Los Angeles Unified; Swimming Pool; View Type: Canyon; View Type: City View; View Type: Mountain View; View Type: Neighborhood; View Type: Panoramic; View Type: Territorial View; View Type: Trees/Woods; Washer; Year Built: 1953; Vaulted Ceiling,10, 818-657-3030, https://hotpads.com/9524-dalegrove-dr-beverly-hills-ca-90210-skue5k/pad
9042 Terhune Avenue, 9042 Terhune Avenue, Sun Valley, CA,91352, Call, Air Conditioning; Cats Allowed; Flooring: Hardwood; Laundry: none; Off Street Parking,16, hotpads, https://hotpads.com/9042-terhune-ave-sun-valley-ca-91352-1tystd0/pad
Rees Street, Rees Street, Playa Del Rey, CA,90293, Call, Cable included in rent; Flooring: Hardwood; Internet included in rent; Laundry: none; Off Street Parking; Utilities included in rent; Water included in rent,101, hotpads, https://hotpads.com/319-rees-st-playa-del-rey-ca-90293-u0k1e2/pad
5440 Thornburn Street, 5440 Thornburn Street, Los Angeles, CA,90045,1950, Cats Allowed; Dogs Allowed; Small Dogs Allowed,66, 818-957-5695, https://hotpads.com/1-bed-681-sqft-1950-los-angeles-ca-90045-1m2qe3r/pad
1120 S Plymouth Boulevard, 1120 S Plymouth Boulevard, Los Angeles, CA,90019, Call, Architecture Style: Bungalow; Covered Parking Spaces: 2; Dryer; Flooring: Hardwood; Heating system: Central; Laundry: In Unit; MLS Listing ID: 17271956; Patio Balcony; Refrigerator; Washer; Year Built: 1932,14, 213-380-8245, https://hotpads.com/1120-s-plymouth-blvd-los-angeles-ca-90019-ty6ac8/pad
4401 Kraft Avenue, 4401 Kraft Avenue, Studio City, CA,91602, Call, Air Conditioning; Attached Garage; Barbecue; Cats Allowed; Condo Floor Number: 2; Dryer; Flooring: Hardwood; Flooring: Tile; Garage; Garbage Disposal; Gas not included in rent; Laundry: In Unit; Master bath; Microwave Oven; Parking Spaces: 2; Patio Balcony; Small Dogs Allowed; Storage Space; Washer; Year Built: 1977; Granite countertop; Range/Oven; Skylight; Stainless steel appliances; Wired,55, 323-317-2588, https://hotpads.com/4401-kraft-ave-north-hollywood-ca-91602-1m3w5kn/pad
1638 1/2 W 35th Street, 1638 1/2 W 35th Street, Los Angeles, CA,90018, Call, Cats Allowed; Dryer; Electricity not included in rent; Flooring: Hardwood; Garage; Garbage not included in rent; Gas not included in rent; Laundry: In Unit; Patio Balcony; Small Dogs Allowed; Washer; Water not included in rent,31, 310-428-5045, https://hotpads.com/1638-12-w-35th-st-los-angeles-ca-90018-1tz9y8d/pad
4824 Craner Avenue, 4824 Craner Avenue, N Hollywood, CA,91601,1925, Air Conditioning; BBQ/Picnic Area; Cable TV Ready; Carpeting; Cats Allowed; Courtyard; Detached Garage; Dishwasher; Efficient Appliances; Electronic Thermostat; Extra Storage; Fireplace; Fitness Center; Flooring: Hardwood; Free Weights; Garbage Disposal; High Ceilings; Large Closets; Large Dogs Allowed; Laundry: Shared; Off Street Parking; On-Site Management; Patio Balcony; Range; Recycling; Refrigerator; Security: Gated Entry; Short Term Lease; Small Dogs Allowed; Sundeck; Swimming Pool; Window Coverings,69, 818-509-0400, https://hotpads.com/craner-villa-north-hollywood-ca-91601-st4wcr/pad
10595 Wilshire Boulevard, 10595 Wilshire Boulevard, Los Angeles, CA,90024,1999, ,86, hotpads, https://hotpads.com/10595-wilshire-blvd-los-angeles-ca-90024-1tzbn8f/pad
6135 1/2 Saturn Street, 6135 1/2 Saturn Street, Los Angeles, CA,90035,2550, ,35, 323-302-9295, https://hotpads.com/2-bed-2550-los-angeles-ca-90035-1tzegwf/pad
1126 E 40th Place, 1126 E 40th Place, Los Angeles, CA,90011, Call, ,45, 323-754-2818, https://hotpads.com/1126-e-40th-pl-los-angeles-ca-90011-1pk6zcp/pad
641 E 76th Street, 641 E 76th Street, Los Angeles, CA,90001, Call, Attached Garage; Dryer; Laundry: In Unit; Parking Spaces: 1; Refrigerator; Washer; Year Built: 2017; Granite countertop; Range/Oven,12, 323-552-3650, https://hotpads.com/641-e-76th-st-los-angeles-ca-90001-sq5dux/pad
12431 Landale Street, 12431 Landale Street, Studio City, CA,91604, Call, Covered Parking Spaces: 4; Dryer; Fireplace; Flooring: Hardwood; Freezer; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18318132; Patio Balcony; Refrigerator; Swimming Pool; Washer; Year Built: 2015,5, 424-253-7523, https://hotpads.com/12431-landale-st-studio-city-ca-91604-ss7b9g/pad
10914 Blix Street, 10914 Blix Street, North Hollywood, CA,91602, Call, 500sqft private and gated outdoor front yard; Air Conditioning; Cats Allowed; Electricity not included in rent; Flooring: Hardwood; Garage; Gas not included in rent; Large Dogs Allowed; Laundry: none; Off Street Parking; Patio Balcony; Small Dogs Allowed; Water not included in rent,45, 323-308-5993, https://hotpads.com/10914-blix-st-north-hollywood-ca-91602-1pn2gqf/pad
9521 S Western Avenue, 9521 S Western Avenue, Los Angeles, CA,90047, Call, ,70, 866-772-6847, https://hotpads.com/9521-s-western-ave-los-angeles-ca-90047-1n1yw72/pad
2960 Marengo Street, 2960 Marengo Street, Los Angeles, CA,90033, Call, Covered Parking Spaces: 1; Heating system: Wall Heater; MLS Listing ID: MB17276470; School District: Los Angeles Unified; View Type: City View; View Type: Mountain View; View Type: Neighborhood; Year Built: 1992; Attic,42, 323-219-0452, https://hotpads.com/2960-marengo-st-los-angeles-ca-90033-1m2nnct/pad
1415 S Saltair Avenue, 1415 S Saltair Avenue, West Los Angeles, CA,90025,2090, ,71, hotpads, https://hotpads.com/1415-s-saltair-ave-los-angeles-ca-90025-t17ycp/pad
9643 Burnet Avenue, 9643 Burnet Avenue, North Hills, CA,91343, Call, Air Conditioning; Applicants need Good Credit Score and Employment.; Disabled Access; Dryer; Gas not included in rent; Laundry: In Unit; Off Street Parking; Small Dogs Allowed; Washer; Water not included in rent,19, 818-321-7778, https://hotpads.com/9643-burnet-ave-north-hills-ca-91343-1tyhjns/pad
1849 W Florence Avenue, 1849 W Florence Avenue, Los Angeles, CA,90047, Call, Disabled Access; Dryer; Laundry: In Unit; Small Dogs Allowed; Washer; Water included in rent; new stove and hood,21, 323-716-2884, https://hotpads.com/1849-w-florence-ave-los-angeles-ca-90047-1n1yqeg/pad
1239 S Orange Drive, 1239 S Orange Drive, Los Angeles, CA,90019, Call, Dryer; Flooring: Hardwood; Laundry: In Unit; Small Dogs Allowed; Washer,50, 818-269-9820, https://hotpads.com/1239-s-orange-dr-los-angeles-ca-90019-sksd8t/pad
Accent, 5550 Grosvenor Boulevard, Los Angeles, CA,90066,2802, Ceiling Fan; Flooring: Carpet; Flooring: Hardwood; Garage; Off Street Parking; Patio; Patio Balcony; Stories: 4; Washer/Dryer Hookups,40, 1-818-946-0165, https://hotpads.com/accent-los-angeles-ca-90066-svr9yr/pad
9505 Hidden Valley Road, 9505 Hidden Valley Road, Beverly Hills, CA,90210, Call, Architecture Style: Contemporary; Cable TV Ready; Covered Parking Spaces: 2; Fireplace; Flooring: Hardwood; Furnished; Heating system: Central; Heating system: Forced Air; MLS Listing ID: 17284690; Patio Balcony; School District: Los Angeles Unified; Spa; Swimming Pool; Washer; Year Built: 1960; Porch,3, 310-279-9379, https://hotpads.com/9505-hidden-valley-rd-beverly-hills-ca-90210-skr643/pad
2151 Alsace Avenue, 2151 Alsace Avenue, Los Angeles, CA,90016, Call, Dryer; Fireplace; Flooring: Hardwood; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18319416; Refrigerator; Washer; Year Built: 1923,91, 424-218-9886, https://hotpads.com/2151-alsace-ave-los-angeles-ca-90016-tzr08n/pad
3411 S Leland Street, 3411 S Leland Street, San Pedro, CA,90731, Call, Cats Allowed; Dryer; Flooring: Hardwood; Garage; Large Dogs Allowed; Laundry: In Unit; Small Dogs Allowed; Washer,51, 310-847-9835, https://hotpads.com/3411-s-leland-st-san-pedro-ca-90731-1n24buw/pad
1626 Glendon Avenue, 1626 Glendon Avenue, Los A, CA,90024, Call, Air Conditioning; Flooring: Hardwood; Laundry: Shared; Utilities fee required,65, 310-874-3065, https://hotpads.com/1626-glendon-ave-los-angeles-ca-90024-skv5fq/pad
1945 S Garth Avenue, 1945 S Garth Avenue, Los Angeles, CA,90034,2450, ,60, hotpads, https://hotpads.com/1945-s-garth-ave-los-angeles-ca-90034-1n1wsza/pad
6192 Coral Pink Circle #CP92, 6192 Coral Pink Circle #CP92, Woodland Hills, CA,91367, Call, Air Conditioning; Basketball Court; Business Center; Cable not included in rent; Cats Allowed; Club House; Dryer; Electricity not included in rent; Fitness Center; Flooring: Hardwood; Flooring: Wood; Garage; Gas Grills Allowed; Gas not included in rent; Internet not included in rent; Large Dogs Allowed; Laundry: In Unit; Near Shopping Dining and Theatres; Near Transportation; On-Site Dry Cleaners; On-site Alternations; Patio Balcony; Pets Welcome; Putting Green and Par Course; Security: Gated Entry; Small Dogs Allowed; Spacious Bedrooms; Swimming Pool; Tennis Court; Vaulted Ceilings; Volleyball Court; Washer,11, 818-787-1777, https://hotpads.com/cp92/pad
686 S Ardmore Avenue, 686 S Ardmore Avenue, Los Angeles, CA,90005, Call, Architecture Style: Contemporary; Covered Parking Spaces: 2; Flooring: Laminate; Heating system: Central; MLS Listing ID: 18323334; Year Built: 1990,47, 213-705-8134, https://hotpads.com/686-s-ardmore-ave-los-angeles-ca-90005-1n1tmuy/pad
24036 Highlander Road, 24036 Highlander Road, West Hills, CA,91307, Call, Air Conditioning; Cats Allowed; Dryer; Garage; Laundry: In Unit; Small Dogs Allowed; Washer,25, 818-350-3445, https://hotpads.com/24036-highlander-rd-west-hills-ca-91307-1m3hemj/pad
1851 Winona Boulevard, 1851 Winona Boulevard, Los Angeles, CA,90027,1649, ,22, hotpads, https://hotpads.com/1851-winona-blvd-los-angeles-ca-90027-sntpp8/pad
1168 W 28th Street, 1168 W 28th Street, Los Angeles, CA,90007, Call, Air Conditioning; Dryer; Laundry: In Unit; Microwave Oven; Washer; gated parking on premises; monthly maid services; private front yard; stainless steel refridgerator; stainless steel stove; weekly gardening services,5, 213-748-8331, https://hotpads.com/1168-w-28th-st-los-angeles-ca-90007-ty9vr2/pad
11908 Dorothy Street, 11908 Dorothy Street, Los Angeles, CA,90049,2695, ,30, hotpads, https://hotpads.com/11908-dorothy-st-los-angeles-ca-90049-tn354k/pad
5445 Monroe Street, 5445 Monroe Street, Los Angeles, CA,90038, Call, Covered Parking Spaces: 2; Fireplace; Flooring: Laminate; Heating system: Wall Heater; MLS Listing ID: SR18021245; No Air Conditioning; School District: Los Angeles Unified; View Type: None; Year Built: 1923; Range/Oven,41,818624715, https://hotpads.com/5445-monroe-st-los-angeles-ca-90038-1m2p2dj/pad
Balboa Boulevard, Balboa Boulevard, Van Nuys, CA,91406, Call, Air Conditioning; Cats Allowed; Dogs Allowed; Dryer; Flooring: Hardwood; Garage; Laundry: In Unit; Small Dogs Allowed; Washer,110, 818-522-7002, https://hotpads.com/6730-balboa-blvd-van-nuys-ca-91406-1m3uv8n/pad
3133 Gilmerton Avenue, 3133 Gilmerton Avenue, Los Angeles, CA,90064, Call, Attached Garage; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Carpet; Flooring: Hardwood; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18323476; No Air Conditioning; Patio Balcony; Washer; Year Built: 1952; Porch,8, 310-734-2653, https://hotpads.com/3133-gilmerton-ave-los-angeles-ca-90064-1m2rxt2/pad
950 S Muirfield Road, 950 S Muirfield Road, Los Angeles, CA,90019, Call, Ceiling Fan; Covered Parking Spaces: 1; Dryer; Fireplace; Flooring: Hardwood; Flooring: Tile; Furnished; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18312370; Patio Balcony; Refrigerator; Washer; Year Built: 1923,12, 323-310-2525, https://hotpads.com/950-s-muirfield-rd-los-angeles-ca-90019-ta5mse/pad
1829 S Longwood Avenue, 1829 S Longwood Avenue, Los Angeles City, CA,90019, Call, Dryer; Flooring: Laminate; Flooring: Tile; Garbage Disposal; Laundry: In Unit; MLS Listing ID: 18306124; Microwave Oven; Washer; Year Built: 1911; Range/Oven,28, 310-591-7172, https://hotpads.com/1829-s-longwood-ave-los-angeles-ca-90019-1n1vfrd/pad
2831 Denby Avenue, 2831 Denby Avenue, Los Angeles, CA,90039, Call, Air Conditioning; Dryer; Fenced Yard; Flooring: Tile; Freezer; Garbage Disposal; Garden; Laundry: In Unit; Lawn; Microwave Oven; No Utilities included in rent; Off Street Parking; Parking Spaces: 1; Refrigerator; Sprinkler System; Storage Space; Washer; Yard; Porch; Range/Oven; Stainless steel appliances,67, hotpads, https://hotpads.com/2831-denby-ave-los-angeles-ca-90039-u0axb6/pad
1114 Tamarind Avenue, 1114 Tamarind Avenue, Los Angeles, CA,90038, Call, Air Conditioning; Cable TV Ready; Flooring: Hardwood; Flooring: Tile; Gas not included in rent; Heating system: Heat: forced air; Hot water included in rent; Laundry: Shared; Off Street Parking; Refrigerator; Water not included in rent; Year Built: 1924; Granite countertop; Range/Oven,94, 424-220-8899, https://hotpads.com/1114-tamarind-ave-los-angeles-ca-90038-tbb5pd/pad
415 Rose Avenue, 415 Rose Avenue, Venice, CA,90291, Call, Air Conditioning; Cats Allowed; Dryer; Garbage included in rent; Laundry: In Unit; Off Street Parking; Small Dogs Allowed; Washer; Water included in rent,51, 818-333-6646, https://hotpads.com/415-rose-ave-venice-ca-90291-1m2zjpe/pad
The Micropolitan at Larchmont Village, 5825 Camerford Avenue, Los Angeles, CA,90038,2720, Availability 24 Hours; BBQ/Picnic Area; Bicycle Storage; Cable TV Ready; Cats Allowed; Complimentary Coffee Bar; Courtyard; Custom Cabinet Lighting; Deep Soaking tubs; Designer Kitchen Cabinets; Disabled Access; Dishwasher; Dry Cleaning Service Available; Dryer; Efficient Appliances; Elevator; Elfa Custom Closets; Flooring: Hardwood; Flooring: Tile; Garbage Disposal; Green Building; High-speed Internet Ready; LED Recessed Lights; Large Dogs Allowed; Laundry: In Unit; Linen Pantry and Coat Closet; Microwave Oven; Off Street Parking; On-Site Maintenance; On-Site Management; Online Rent Payments Available; Open Layouts and Upscale Design Touches; Oversized Windows and Designer Shades; Package Service; Patio Balcony; Personal Storage Available; Pet Friendly (Restrictions Apply); Pet Spa; Pictures may not be of exact apartment home; Range; Recycling; Refrigerator; Resort-Inspired Outdoor Lounge Areas; Rooftop Deck; Security: Gated Entry; Shower Enclosures; Small Dogs Allowed; Spaces for Large Flat Screen TVs; Stainless Steel Frigidaire Appliances; Stories: 3; Sundeck; Tennis Court; Tiled Showers and Bath Surrounds; Transportation; USB Charging Outlets; Walk In Closets; Washer; Window Coverings; Year-round outdoor entertainment,39, 1-323-746-1069, https://hotpads.com/the-micropolitan-at-larchmont-village-los-angeles-ca-90038-1m2p3aw/pad
2338 Nella Vista Avenue, 2338 Nella Vista Avenue, Los Angeles, CA,90027, Call, Fireplace; MLS Listing ID: 18-304218; Year Built: 1956,29, 213-300-4567, https://hotpads.com/2338-nella-vista-ave-los-angeles-ca-90027-skxs5w/pad
10211 Seabury Lane, 10211 Seabury Lane, Los Angeles, CA,90077, Call, Architecture Style: Other; Dryer; Flooring: Tile; Heating system: Wall; Heating: Wood; Laundry: In Unit; MLS Listing ID: SR18043579; Refrigerator; Roof Type: Tile; Washer; Year Built: 1932,14, 818-528-3200, https://hotpads.com/10211-seabury-ln-los-angeles-ca-90077-skeyc6/pad
970 W 19th Street, 970 W 19th Street, San Pedro, CA,90731, Call, Air Conditioning; Dishwasher; Garbage included in rent; Laundry: Shared; Water included in rent,15, 562-427-1930, https://hotpads.com/970-w-19th-st-san-pedro-ca-90731-snu6m8/pad
14111 Sherman Way, 14111 Sherman Way, Van Nuys, CA,91405, Call, Air Conditioning; Dryer; Garage; Laundry: In Unit; No Utilities included in rent; Small Dogs Allowed; Washer,43, hotpads, https://hotpads.com/14111-sherman-way-van-nuys-ca-91405-1m3uep9/pad
1522 S Westgate Avenue, 1522 S Westgate Avenue, Los Angeles, CA,90025,4869, ,7, hotpads, https://hotpads.com/1522-s-westgate-ave-los-angeles-ca-90025-1n1w3ye/pad
5702 Wilbur Avenue, 5702 Wilbur Avenue, Tarzana, CA,91356, Call, Condo Floor Number: 2; Covered Parking Spaces: 6; Fireplace; Flooring: Hardwood; Flooring: Tile; Heating: Gas; MLS Listing ID: SR18042467; Roof Type: Composition; School District: Los Angeles Unified; Sprinkler System; View Type: Trees/Woods; Year Built: 1950,28, 818-449-4522, https://hotpads.com/5702-wilbur-ave-tarzana-ca-91356-1m3r67b/pad
6413 Repton Street, 6413 Repton Street, Los Angeles, CA,90042, Call, Air Conditioning; Cats Allowed; Double Oven; Dryer; Flooring: Hardwood; Garage; Heating: Solar; Huge yard; Large Dogs Allowed; Laundry: In Unit; Off Street Parking; Small Dogs Allowed; Washer; walk in closet,26, hotpads, https://hotpads.com/6413-repton-st-los-angeles-ca-90042-1m2q2kg/pad
4838 Katherine Avenue, 4838 Katherine Avenue, Sherman Oaks, CA,91423, Call, Air Conditioning; Cats Allowed; Large Dogs Allowed; Laundry: none; Patio Balcony; Small Dogs Allowed,72, 818-602-1566, https://hotpads.com/4838-katherine-ave-sherman-oaks-ca-91423-skgh7y/pad
5110 1/2 Lemon Grove Avenue, 5110 1/2 Lemon Grove Avenue, Los Angeles, CA,90029, Call, Cats Allowed; Flooring: Hardwood; Laundry: Shared; Off Street Parking,24, 323-665-1050, https://hotpads.com/5110-12-lemon-grove-ave-los-angeles-ca-90029-1u0uk9h/pad
11356 Acala Avenue, 11356 Acala Avenue, San Fernando, CA,91340, Call, Air Conditioning; Dryer; Flooring: Hardwood; Laundry: In Unit; Off Street Parking; Washer,29, 909-293-9697, https://hotpads.com/11356-acala-ave-san-fernando-ca-91340-1m3mqrn/pad
6417 1/2 Repton Street, 6417 1/2 Repton Street, Los Angeles, CA,90042, Call, Air Conditioning; Cats Allowed; Laundry: Shared; Off Street Parking,54, hotpads, https://hotpads.com/6417-12-repton-st-los-angeles-ca-90042-1u0udvs/pad
14844 Valley Vista Boulevard, 14844 Valley Vista Boulevard, Sherman Oaks, CA,91403, Call, Air Conditioning; Cats Allowed; Dryer; Flooring: Hardwood; Furnished; Garage; Laundry: In Unit; No Utilities included in rent; Off Street Parking; Patio Balcony; Small Dogs Allowed; Washer,28, 818-212-0845, https://hotpads.com/14844-valley-vista-blvd-sherman-oaks-ca-91403-1m3u754/pad
408 S Cochran Avenue, 408 S Cochran Avenue, Los Angeles, CA,90036, Call, Architecture Style: Loft layout; Condo Floor Number: 2; Flooring: Hardwood; Heating system: Heat: forced air; Laundry: Shared; Street Parking,44, 818-262-7181, https://hotpads.com/408-s-cochran-ave-los-angeles-ca-90036-1n1x1nm/pad
4401 Sepulveda Boulevard, 4401 Sepulveda Boulevard, Sherman Oaks, CA,91403, Call, Air Conditioning; Cats Allowed; Garage; Garbage included in rent; Hot water included in rent; Large Dogs Allowed; Laundry: Shared; Small Dogs Allowed,55, 818-332-1423, https://hotpads.com/4401-sepulveda-blvd-sherman-oaks-ca-91403-skwnh1/pad
1000 Grand by Windsor, 1000 S Grand Avenue, Los Angeles, CA,90015,2375, Barbecue; Bicycle Storage; Bike rider lounge with fix-it station; Catering kitchen lounge with bar top seating; Cats Allowed; Conference Room; Custom cabinetry and large kitchen islands; Cyber lounge with iMac computers; Dogs Allowed; Dryer; Fitness Center; Generous walk-in and linen closets; Grand Lobby with Wi-Fi HDTV and lounge seating; Large Dogs Allowed; Laundry: In Unit; Live/Work apartments with storefront access; Luxury bathrooms with granite countertops; Online Payments Available; Parking Lot; Plush carpeting in bedrooms; Private movie screening room; Resident courtyard with conversational fire pit; Small Dogs Allowed; Spacious living spaces with high ceilings; Street-level access to DTLA's shopping and dining; Studies and computer desks in select homes; Studio one and two-bedroom apartment homes; Swimming Pool; Terraces available in select homes; Three rooftop sky decks with sweeping city views; Washer; Water Feature; Wood-style flooring in living and dining areas,53, 1-818-275-5793, https://hotpads.com/1000-grand-by-windsor-los-angeles-ca-90015-wdc2ha/pad
1024 South Broadway, 1024 South Broadway, Los Angeles, CA,90015, Call, Attached Garage; Barbecue; Basketball Court; Business Center; Cable TV Ready; Carport; Dryer; Fitness Center; Flooring: Hardwood; Flooring: Tile; Freezer; Garbage Disposal; Guest parking; Heating system: Heat: forced air; Hot Tub; Laundry: In Unit; Master bath; Microwave Oven; Near Transportation; New property; Off Street Parking; Parking Spaces: 1; Patio Balcony; Refrigerator; Sauna; Storage Space; Street Parking; Swimming Pool; Washer; Year Built: 2017; Double Pane Windows; Granite countertop; Jacuzzi / Whirlpool; Range/Oven; Skylight; Stainless steel appliances,21, 213-514-5777, https://hotpads.com/1024-south-broadway-los-angeles-ca-90015-1the6cp/pad
920 1/2 W 10th Street, 920 1/2 W 10th Street, San Pedro, CA,90731, Call, Cable TV Ready; Cable not included in rent; Cats Allowed; Condo Floor Number: 2; Electricity not included in rent; Flooring: Hardwood; Garbage Disposal; Garbage not included in rent; Gas not included in rent; Laundry: Shared; Patio Balcony; Refrigerator; Secured entry; Small Dogs Allowed; Street Parking; Vintage; Water not included in rent; Double Pane Windows; Porch; Range/Oven; Stainless steel appliances; Wired,12, 760-845-9450, https://hotpads.com/920-12-w-10th-st-san-pedro-ca-90731-w3ednf/pad
2700 Cahuenga, 2700 Cahuenga, Los Angeles, CA,90068,2850, ,35, hotpads, https://hotpads.com/2700-cahuenga-blvd-e-los-angeles-ca-90068-skkxu0/pad
7243 Sale Avenue, 7243 Sale Avenue, West Hills, CA,91307, Call, MLS Listing ID: SR18059575; Year Built: 1956,16, 818-207-0705, https://hotpads.com/7243-sale-ave-west-hills-ca-91307-sst3pe/pad
1101 Westerly Terrace Aka 3129 W Sunset Boulevard, 1101 Westerly Terrace Aka 3129 W Sunset Boulevard, Los Angeles, CA,90026,1750, ,171, 310-975-2571, https://hotpads.com/1101-westerly-terrace-aka-3129-w-sunset-boulevard-los-angeles-ca-90026-1m2m669/pad
